"antecedent";"consequent";"confidence";"lift"
"[计算机科学与技术, 三大先导]";"[中级]";0.3396463889721307;1.017027155863369
"[经济学, 三大先导]";"[初级]";0.3379993992189847;1.0154706300705565
"[中级, 三大先导]";"[计算机科学与技术]";0.3380659786434409;1.0150912162005792
"[高级, 常规产业]";"[经济学]";0.3400168087405451;1.0150664499523692
"[高级, 经济学]";"[常规产业]";0.5065736517306144;1.0148319244558255
"[初级, 常规产业]";"[经济学]";0.3390472753518585;1.012172061234912
"[高级, 三大先导]";"[软件工程]";0.33593421763399556;1.0118805314437047
"[软件工程, 初级]";"[三大先导]";0.5065573770491804;1.0114357707189672
"[计算机科学与技术]";"[中级]";0.33773720874369445;1.0113103627491151
"[中级]";"[计算机科学与技术]";0.33680680320996526;1.011310362749115
"[初级, 计算机科学与技术]";"[常规产业]";0.504528165187466;1.0107341490623756
"[经济学]";"[初级]";0.3362390661850315;1.0101819624005755
"[初级]";"[经济学]";0.3383806519453207;1.0101819624005752
"[经济学, 常规产业]";"[高级]";0.3361025397578922;1.0087413780662453
"[软件工程, 常规产业]";"[高级]";0.33606956098747415;1.0086423991940758
"[初级, 三大先导]";"[经济学]";0.3377153490605679;1.0081958057753466
"[常规产业]";"[经济学]";0.33760041669170826;1.0078526933507725
"[经济学]";"[常规产业]";0.5030898289399051;1.0078526933507723
"[三大先导]";"[软件工程]";0.3345047221612124;1.0075746924943896
"[软件工程]";"[三大先导]";0.5046236332419651;1.0075746924943896
